"id","en","ru","de","fr"
"SETTINGS_DESC_VIDEO","Video quality.

If video settings has been selected inappropriatly the first time you run the game, please, report correct settings to our [window='Settings/LinkForumVideoSettings']. Instructions are in the first post.","Качество видео.

Если настройки видео были выбраны неверно во время первого запуска игры, пожалуйста, сообщите верные настройки на наш [window='Settings/LinkForumVideoSettings']. Инструкции в первом сообщении.","Videoqualität.

Falls die Videoeinstellungen beim ersten Starten des Spiels falsch eingestellt wurden, berichten Sie die korrekten Einstellungen an [window='Settings/LinkForumVideoSettings']. Instruktionen dazu finden Sie im ersten Beitrag.","Qualité vidéo.

Si les réglages vidéo n'ont pas été sélectionnés de façon appropriée la première fois que vous lancez le jeu, merci de soumettre les réglages corrects à notre  [window='Settings/LinkForumVideoSettings']. Les instructions sont dans le premier sujet."
"SETTINGS_DESC_VSYNC","Enable this if you experience screen tearing","Включите это, если изображение на экране «рвётся»","Aktivieren Sie diese Einstellung, wenn Sie Tearing feststellen","Activer ceci si vous expérimentez une déchirure verticale de l'écran"
"SETTINGS_DIFFICULTY","Difficulty:","Сложность:","Schwierigkeit:","Difficulté :"
"SETTINGS_DYNCAM","Dynamic camera","Динамическая камера","Dynamische Kamera","Caméra dynamique"
"SETTINGS_DYNCAM_DEFLECTION","Deflection of dynamic camera:","Отклонение динамической камеры:","Ablenkung der dynamischen Kamera:","Déflection de la caméra dynamique :"
"SETTINGS_FORUM","forum","форум","Forum","forum"
"SETTINGS_HIGHLIGHT_LAYERS","Highlight layers","Подсвечивать слои","Ebenen hervorheben","Surligner les couches"
"SETTINGS_LINK_FORUM_VIDEO_SETTINGS","http://opengamestudio.org/topic/video-settings-autodetection",,,
"SETTINGS_LANGUAGE","Language:","Язык:","Sprache:","Langage :"
"SETTINGS_MOUSE_SENSITIVITY","Mouse sensitivity:","Чувствительность мыши:","Maus-Empfindlichkeit:","Sensibilité de la souris :"
"SETTINGS_MUSIC_PACKS","Music packs:","Музыкальные группы:","Musik-Pakete:","Packs de musique :"
"SETTINGS_MUSIC_VOLUME","Music volume:","Громкость музыки:","Musik-Lautstärke:","Volume de la musique :"
"SETTINGS_ONLY_HORIZONTAL","Only horizontal","Только по горизонтали","Nur waagerecht","Horizontal seul"
"SETTINGS_RES","Resolution:","Разрешение:","Auflösung:","Résolution :"
"SETTINGS_RESTRICT_CAM_ROTATION","Restrict camera rotation","Ограничивать вращение камеры","Kameradrehung einschränken","Restreindre la rotation de la caméra"
"SETTINGS_SCENE","Scene:","Сцена:","Szene","Scène :"
"SETTINGS_SOUND_FX_VOLUME","Sound effects' volume:","Громкость звуковых эффектов:","Soundeffekt-Lautstärke:","Volume des effects sonores :"
"SETTINGS_SHADERS","Shaders","Шейдеры","Shader","Shaders"
"SETTINGS_SHADOWS","Shadows","Тени","Schatten","Ombres"
"SETTINGS_TEXTURE_FILTERING","Texture filtering:","Фильтрация текстур:","Texturfilterung:","Filtrage de texture :"
"SETTINGS_THEMES","Themes","Темы","Theme","Thèmes"
"SETTINGS_THEME","Theme:","Тема:","Thema:","Thème :"
"SETTINGS_TILE","Tile detalization:","Детализация фишки:","Details der Spielsteine:","Niveau de détail de la tuile :"
"SETTINGS_VIDEO","Video","Видео","Video","Vidéo"
"SETTINGS_VSYNC","VSync","Верт. синхронизация","Vsync","VSync"
"STATISTICS_DIFFICULTY","Difficulty","Сложность","Schwierigkeit","Difficulté"
"STATISTICS_FAIR_GAMES_ONLY","Fair games only","Только честные партии","Nur faire Spiele","Jeux faciles seulement"
"STATISTICS_GAME","Game","Игра","Spiel","Jeu"
"STATISTICS_LAYOUT","Layout","Раскладка","Layout","Disposition"
"STATISTICS_NAME","Name","Имя","Name","Nom"
"STATISTICS_SHISENSHO_G","Shisen-Sho g","Шисен-Сё г","Shisen-Sho g","Shisen-Sho g"
"TEXTURE_FILTERING_ANISOTROPIC","Anisotropic","Анизотропная","Anisotropisch","Anisotropique"
"TEXTURE_FILTERING_LINEAR","Linear","Линейная","Linear","Linéaire"
"TEXTURE_FILTERING_BILINEAR","Bilinear","Билинейная","Bilinear","Bilinéaire"
"TEXTURE_FILTERING_NONE","None","Нет","Keine","Aucun"
"TEXTURE_FILTERING_TRILINEAR","Trilinear","Трилинейная","Trilinear","Trilinéaire"
"THEME_CLASSIC","Classic","Классика","Klassisch","Classique"
"THEME_DISTROS","Distros","Дистрибутивы","Distros","Distros"
"TILE_LOW","Low","Низкая","Niedrig","Bas"
"TILE_MEDIUM","Medium","Средняя","Mittel","Moyen"
"TILE_HIGH","High","Высокая","Hoch","Haut"
"TUTORIAL_LOSS","There are no more turns left. You can undo the last turn, shuffle tiles, restart the game, or start a new one.","Не осталось ни одного доступного хода. Вы можете отменить последний ход, перемешать фишки, перезапустить партию или начать новую.","Es sind keine Züge mehr möglich. Sie können den letzten Zug rückgängig machen, die Spielsteine neu mischen oder ein neues Spiel starten.","Il ne reste pas d'autre tour. Vous pouvez défaire le dernier tour, mélanger les tuiles, redémarrer le jeu ou en démarrer un nouveau."
"TUTORIAL_START","To select a tile, click it with the left mouse button.
Select a pair of tiles to remove them.

To control the camera, hold the right mouse button and move the mouse. Or use arrow/+/- keys with/out shift.
To reset camera position, press X.

To hide this message, press any key.","Для выбора фишки кликните на ней левой кнопкой мыши.
Выберите пару фишек, чтобы убрать их.

Для управления камерой зажмите правую кнопку мыши и двигайте мышь. Или используйте стрелки/+/- с/без шифта.
Для возврата камеры в исходное положение нажмите X.

Чтобы убрать это сообщение, нажмите любую кнопку.","Um einen Spielstein auszuwählen, klicken Sie Ihn mit der linken Maustaste an. Wählen Sie ein Paar Spielsteine um diese zu entfernen.

Um die Kamera zu kontrollieren halten Sie die rechte Maustaste gedrückt und bewegen die Maus umher. Alternativ können Sie Pfeil/+/- Tasten mit/ohne Shift-Taste benutzen.
Um die Kamera zurückzusetzen, drücken Sie X.

Um diese Nachricht zu verstecken, drücken Sie eine beliebige Taste.","Pour sélectionner une tuile, cliquer dessus avec le bouton gauche de la souris.
Sélectionner une paire de tuiles pour les enlever.
 
Pour contrôler la caméra, maintenir le bouton droit de la souris et déplacer la souris. Ou utiliser les touches fléchées/+/- sans maj.
Pour réinitialiser la position de la caméra, presser X.
 
Pour cacher ce message, presser n'importe quelle touche."
"TUTORIAL_VICTORY","Congratulations! You won!
Enter your name and check out statistics to see if you made it to the top.","Поздравляем! Вы победили!
Введите своё имя и проверьте статистику, может быть, вы поставили рекорд.","ве","Félicitations ! Vous avez gagné !
Entrez votre nom et vérifiez les statistiques pour voir si vous êtes en tête."
"YES","Yes","Да","Ja","Oui"
