"id","en","ru","de","fr","es","hi"
"INFO_THIRD_PARTIES_LIBRARIES_TXT","[image='set:Logos image:OGRE']
 
[image='set:Logos image:OpenGL']
 
[image='set:Logos image:CEGUI']
 
[image='set:Logos image:OpenAL']","[image='set:Logos image:OGRE']
 
[image='set:Logos image:OpenGL']
 
[image='set:Logos image:CEGUI']
 
[image='set:Logos image:OpenAL']","[image='set:Logos image:OGRE']
 
[image='set:Logos image:OpenGL']
 
[image='set:Logos image:CEGUI']
 
[image='set:Logos image:OpenAL']","[image='set:Logos image:OGRE']
 
[image='set:Logos image:OpenGL']
 
[image='set:Logos image:CEGUI']
 
[image='set:Logos image:OpenAL']","[image='set:Logos image:OGRE']
 
[image='set:Logos image:OpenGL']
 
[image='set:Logos image:CEGUI']
 
[image='set:Logos image:OpenAL']","[image='set:Logos image:OGRE']
 
[image='set:Logos image:OpenGL']
 
[image='set:Logos image:CEGUI']
 
[image='set:Logos image:OpenAL']"
"INFO_THIRD_PARTIES_MEDIA","    Media","    Медиа","    Medien","    Médias","    Recursos multimedia","    कला"
"INFO_THIRD_PARTIES_MEDIA_TXT","Third-party resources:
Anton Chernov - Room model.
Timur Malikin - TileHigh and TileMed tile models.
Raquel Ravanini - images for ""Classic"" theme.
Kevin MacLeod - all tracks in ""Eastern"" and ""Piano"" music packs. Tracks ""Funkorama"", ""Neo Western"" and ""Protofunk"" in ""Modern"" music pack.
Dano - Tracks ""Crazy from the message"", ""King or an alien"", ""Sun spark"", ""The time isnt right"", ""The wire"", ""Today then tomorrow"" and ""What you think"" in ""Modern"" music pack.
Fenster - Track ""Free Software"" in ""Modern"" music pack.
 
You can find more info on third-party resources, their licenses and copyrights in README files, placed in themes or music packs directories.","Сторонние ресурсы:
Антон Чернов - модель Комнаты.
Тимур Маликин - модели фишек: TileHigh и TileMed.
Raquel Ravanini - изображения для темы оформления ""Classic"".
Kevin MacLeod - все музыкальные треки в разделах ""Eastern"" и ""Piano"". Треки ""Funkorama"", ""Neo Western"" и ""Protofunk"" в разделе ""Modern"".
Dano - Музыкальные треки ""Crazy from the message"", ""King or an alien"", ""Sun spark"", ""The time isnt right"", ""The wire"", ""Today then tomorrow"" и ""What you think"" в разделе ""Modern"".
Fenster — Музыкальный трек ""Free Software"" в разделе ""Modern"".
 
Более подробно об использованных сторонних ресурсах, их лицензиях и копирайтах вы можете узнать из файлов README, расположенных в папках тем оформления и музыкальных разделов.","Andere Ressourcen:
Anton Chernov - Raum-Modell.
Timur Malikin - Spielsteinmodelle TileHigh und TileMed.
Raquel Ravanini - Bilder für ""Classic"" theme.
Kevin MacLeod - alle Musikstücke in den ""Eastern"" und ""Piano"" Musik-Paketen. Musikstücke ""Funkorama"", ""Neo Western"" und ""Protofunk"" im ""Modern"" Musikpaket.
Dano - Musikstücke ""Crazy from the message"", ""King or an alien"", ""Sun spark"", ""The time isnt right"", ""The wire"", ""Today then tomorrow"" und ""What you think"" im ""Modern"" Musikpaket.
Fenster - Musikstück ""Free Software"" im""Modern"" Musikpaket.
 
Mehr Infos über andere Ressourcen, ihre Lizenzen und Urheberrechte sind in den Verzeichnissen der Themen oder Musikpakete als Readme-Datei zu finden.","Ressources tierces :
Anton Chernov - Modèle de pièce.
Timur Malikin - modèles de tuiles TileHigh et TileMed.
Raquel Ravanini - images pour le thème ""Classic"".
Kevin MacLeod - toutes les pistes dans les packs de musique ""Eastern"" et ""Piano"". Pistes ""Funkorama"", ""Neo Western"" et ""Protofunk"" dans le pack de musique ""Modern"".
Dano - pistes ""Crazy from the message"", ""King or an alien"", ""Sun spark"", ""The time isnt right"", ""The wire"", ""Today then tomorrow"" et ""What you think"" dans le pack de musique ""Modern"".
Fenster - piste ""Free Software"" dans le pack de musique ""Modern"".
 
Vous pouvez trouver plus d'informations sur les ressources tierces, leurs licences et droits de copie dans les fichiers README, placés dans les dossiers des thèmes ou packs de musique.","Terceros recursos multimedia:
Anton Chernov - Modelo de la habitación.
Timur Malikin - TileHigh y TileMed de los modelos de fichas.
Raquel Ravanini - imágenes para el tema ""Classic"".
Kevin MacLeod - todas las pistas de música en ""Eastern"" y ""Piano"" de los paquetes de música. Las pistas ""Funkorama"", ""Neo Western"" y ""Protofunk"" en el paquete de música ""Modern"".
Dano - pistas de música ""Crazy from the message"", ""King or an alien"", ""Sun spark"", ""The time isnt right"", ""The wire"", ""Today then tomorrow"" y ""What you think"" en el paquete de música ""Modern"".
Fenster - pista de música ""Free Software"" en el paquete de música ""Modern"".
 
Puedes encontrar mas información de los recursos de terceros, sus licencias y derechos de autor en los ficheros README, que estan en los directorios de los temas visuales o los paquetes de música.","थर्ड पार्टी संसाधन : 
अन्तोन चेर्नोव - कमरे का मॉडल |
तिमुर मालिकिन - टाइल-हाई एंड टाइल-मेड टाइल मॉडल |
राकेल रवानिनी -  ""क्लासिक” प्रकरण के चित्र |
केविन मेक-लोड - ""पूर्वी"" और ""पियानो"" की सारी धुनें |
धुनें “Funkorama “ ,” Neo Western”  “Protofunk”  जो कि “Modern” गीत माला में है |
दानो -  “Crazy from the message” ,”King or an alien” ,""Sun spark"", ""The time isnt right"", ""The wire"", ""Today then tomorrow"" and ""What you think"" धुनें जो ""Modern"" गीत माला में है |
फेंस्टर  - “Free Software”धुन जो “Modern” गीत माला में है |

आप हर थर्ड पार्टी संसाधन के बारे में और जानकारी README में पा सकते है |
 "
"INFO_YOUR_HELP","Your help","Ваша помощь","Ihre Hilfe","Votre aide","Tu ayuda","आपकी मदद"
"INFO_YOUR_HELP_DONATION","    Donation","    Пожертвование","    Spende","    Contribution","    Donación","    दान"
"INFO_YOUR_HELP_DONATION_TXT","If you like our work, you can support us. It will help us maintain our site and domain, and will also encourage us to work further.
[window='Info/LinkDonate']","Если вам нравится то, что мы делаем, вы можете поддержать нас. Пожертвовав нам небольшую сумму денег, вы поможете нам поддерживать домен и сайт, а также вдохновите нас на дальнейшую работу.
[window='Info/LinkDonate']","Wenn Sie unsere Arbeit mögen, können Sie uns unterstützen. Es hilft uns, unsere Webseite aufrecht zu erhalten und ermutigt uns, unsere Arbeit weiterzuführen
[window='Info/LinkDonate']","Si vous aimez notre travail, vous pouvez nous soutenir. Cela nous aidera à maintenir notre site et domaine, et aussi nous encouragera à travailler davantage.
[window='Info/LinkDonate']","Si te gusta nuestro trabajo, puedes ayudarnos. Esta nos ayudara a mantener el sitio web y el nombre de dominio, y también nos anima a seguir trabajando.
[window='Info/LinkDonate']","अगर आपको हमारा काम अच्छा लग्तःई तो कृपया हमे प्रोत्साहित करे और दान करे |यह हमे हमारी साईट और डोमेन के सञ्चालन में मदद करेगा |
[window='Info/LinkDonate']"
"INFO_YOUR_HELP_JOIN_US","    Join us","    Присоединяйтесь к нам","    Treten Sie unserem Team bei","    Rejoignez-nous","    Enrolarte con nosotros","    हमसे जुड़े"
"INFO_YOUR_HELP_JOIN_US_TXT","Right now there are only three active members and several contributors in the Opensource Game Studio team. We desperately need more people.
If you want to help us work faster, or do better games (and tools), please consider joining our humble team. Even if you don’t have enough time to be an active member (and I can assure you, this project takes a lot of our spare time), you can still contribute to the project.
You can find more details at this page:
[window='Info/LinkJoin']","В настоящий момент в команде Opensource Game Studio три активных участника и несколько эпизодических. И нам очень нужны новые люди.
Если хотите помочь нам работать быстрее, делать более качественные игры (а также средства разработки), подумайте, пожалуйста, о том, чтобы присоединиться к нашей скромной команде. Даже если у вас недостаточно свободного времени (а вы можете мне поверить, этот проект требует огромного количества свободного времени), вы можете внести свой вклад.
Подробности вы можете узнать на этой странице:
[window='Info/LinkJoin']","Zur Zeit haben wir nur 3 aktive Mitglieder und diverse Mithelfer im Team des Opensource Game Studios. Wir benötigen dringend weitere Helfer.
Wenn Sie uns helfen wollen, schneller zu arbeiten oder bessere Spiele (und Tools) zu erstellen, treten Sie unserem bescheidenem Team bei. Selbst wenn Sie nicht genug Zeit haben, um als aktives Mitglied (und glauben Sie uns, dieses Projekt nimmt eine Menge unserer wenigen freien Zeit ein) mitzuwirken, können Sie uns dennoch helfen.
Mehr Details dazu finden Sie hier:
[window='Info/LinkJoin']","Actuellement il n'y a que trois membres actifs et quelques contributeurs dans l'équipe de Opensource Game Studio. Nous avons désespérément besoin de plus de personnes.
Si vous voulez nous aider à travailler plus vite ou créer de meilleurs jeux (et outils), merci d'envisager de rejoindre notre humble équipe. Même si vous n'avez pas assez de temps pour être un membre actif (et je peux vous assurer que ce projet prends beaucoup de notre temps libre), vous pouvez quand même contribuer au projet.
Vous pouvez trouver plus de détails sur cette page :
[window='Info/LinkJoin']","En este momento sólo hay tres miembros activos y varios colaboradores en el equipo de Game Studio Opensource. Necesitamos desesperadamente más personas.
Si quieres ayudarnos a trabajar más rápido, o hacer mejores juegos (y herramientas), por favor considere unirse a nuestro equipo humilde. Incluso si usted no tiene tiempo suficiente para ser un miembro activo (y les puedo asegurar, este proyecto tiene una gran cantidad de nuestro tiempo libre), puede contribuir al proyecto.
Puedes encontrar mas detalles en la esta página:
[window='Info/LinkJoin']","अभी केवल तीन ही स्थाई सदस्य और कई और सदस्य ओपेंसौर्स गेम स्टूडियो में शामिल है|अगर आप हमे और तेज़ी से काम करते देखना चाहते है और अच्छे खेल बनाते देखना चाहते है तो आप कृपा करके हमारे साथ जुड़े |भले ही आप पर पर्याप्त समय न हो तब भी आप हमसे जुड़ सकते है|
आप और जानकारी यहाँ प्राप्त कर सकते है|
[window='Info/LinkJoin']"
"LOAD_INFO","Type: %s
Difficulty: %s
Layout: %s
Hints: %s
Undos: %s
Time: %s","Тип: %s
Сложность: %s
Раскладка: %s
Подсказок: %s
Отмена: %s
Время: %s","Typ: %s
Schwierigkeit: %s
Layout: %s
Tipps: %s
Rücknahmen: %s
Dauer: %s","Type : %s
Difficulté : %s
Disposition : %s
Suggestions : %s
Défaits : %s
Temps : %s","Tipo: %s
Dificultad: %s
Capa: %s
Hints: %s
Acciones de deshacer: %s
Tiempo: %s","शैली: %s
कठनाई: %s
खाका: %s
संकेत: %s
अनडू : %s
समय: %s"
"LOAD_LOAD","Load","Загрузить","Laden","Charger","Cargar","पुराना खेल"
"LOADING","Loading","Загрузка","Lade",,,
"NO","No","Нет","Nein","Non","No","नहीं"
"NO_DESC","No description","Нет описания","Keine Beschreibung","Pas de description","Sin descripción","कोई जानकारी नहीं"
"OK","OK","OK","OK","OK","OK","OK"
"ONLINE_INVALID_DIFFICULTY","The server does not support such game difficulty.","Сервер не поддерживат такую игровую сложность.","Der Server unterstützt den gewählten Schwierigkeitsgrad nicht.",,,"यह सर्वर आपके स्तर की कठनाई वाला नहीं है"
"ONLINE_INVALID_LAYOUT","The server does not support such game layout.","Сервер не поддерживат такую игровую раскладку.","Der Server unterstützt das gewählte Layout nicht.",,,"यह सर्वर इस खाका वाला नहीं है|"
"ONLINE_INVALID_TYPE","The server does not support such game type.","Сервер не поддерживат такой тип игры.","Der Server unterstützt den gewählten Spieltyp nicht.",,,"यह सर्वर इस खेल की शैली वाला नहीं है |"
"ONLINE_SCORING","Online scoring","Сетевой рейтинг","Online Highscores.",,,
"SAVE_GAME_BEFORE_EXIT","Do you want to save the game before exit?","Сохранить игру перед выходом?","Wollen Sie das Spiel vor dem Beenden speichern?","Voulez-vous sauvegarder le jeu avant de quitter ?","¿Quiere salvar antes de salir?","क्या आप निकास से पहले खेल को संचित करना चाहते है |"
"SETTINGS_ANTIALIASING","Anti-aliasing:","Сглаживание:","Anti-Aliasing:","Anti-aliasing :","Anti-aliasing:","एंटी-एलिएसिंग"
"SETTINGS_AUDIO","Audio","Аудио","Audio","Audio","Sonido","आवाज़"
"SETTINGS_CAMERA_TRACKS","Camera animation","Анимация камеры","Kameraanimationen","Animation de la caméra","Animación de la la cámara","कैमरा की सजीवता"
"SETTINGS_CONTROLS","Controls","Управление","Steuerung","Contrôles","Controles","नियंत्रण"
"SETTINGS_DESC_ANTIALIASING","The larger is the antialiasing factor, the smoother are object edges","Чем выше сглаживание, тем более гладкими будут грани объектов.","Je höher der Anti-Aliasing-Faktor, desto glatter werden die Objektkanten dargestellt.","Plus grand est le facteur d'antialiasing, plus les angles des objets sont lisses","El factor de antialiasing es alto, se suaviza las aristas de los objetos","जितना बड़ा एंटी-एलिएसिंग का भाव होगा ,वास्तु के कोने उतने ही चिकने होंगे|"
"SETTINGS_DESC_AUDIO","Game sounding","Звучание игры","Spielgeräusche","Sonorisation du jeu","Sonido del juego","खेल की आवाज़"
"SETTINGS_DESC_CAMERA_TRACKS","Camera animations take place at start, end, pause, unpause of the game. Not all scenes have camera animations.","Анимация камеры происходит при старте, окончании, паузе игры. Не все сцены содержат анимацию камеры.","Kameraanimationen erfolgen, wenn Sie das Spiel starten, beenden, pausieren oder wiederaufnehmen. Nicht alle Szenen haben Kameraanimationen.","Les animations de la caméra se produisent au démarrage, à la pause et la reprise du jeu. Toutes les scènes n'ont pas d'animation de la caméra.","Las animaciones de la cámara toman Camera se harán al principio, al final, al parar y recomenzar la partida. No todas las escenas tienen animaciones de cámara.","कैमरा की सजीवता खेल की शुरुआत , अंत , रुकने और चलने पर दिखाई देगी |हर दृश्य में कैमरा की सज्वीवता नहीं है |"
"SETTINGS_DESC_DIFFICULTY","Classic difficulty corresponds to a normal Mahjong with full tile set. Lower difficulties have reduced tile sets.","Классическая сложность соответствует обычному Маджонгу с полным набором фишек. Другие сложности имеют уменьшенные наборы фишек.","Der klassische Schwierigkeitsgrad ergibt ein normales Mahjong-Spielfeld mit allen Spielsteinarten. Niedrigere Schwierigkeitsgrade ergeben Spielfelder mit weniger Spielsteinarten.","La difficulté classique corresponds à un Mahjong normal avec le jeu complet de tuiles. Les difficultés plus basses ont des jeux de tuiles réduits.","La dificultad clásica es como el Mahjong normal con todo el set de fichas. Menores dificultades reducen el numero de fichas en el set.","प्रसिद्ध कठनाई वाले खेल में पूरा महजोंग टाइल सेट होगा |इससे कम कठनाई वाले खेलो में कम टाइल्स होंगी|"
"SETTINGS_DESC_DYNCAM","If enabled, camera is deflected slightly when you move the mouse around","Если включено, камера слегка отклоняется при движении мыши","Wenn aktiviert, neigt sich die Ansicht bei Bewegungen der Maus","Si activée, la caméra défléchit légèrement lorsque vous bougez la souris autour","Si esta habilitado, la cámara se mueve ligeramente cuando se mueve el ratón","अगर सुविधा ऑन है तो कैमरा माउस हिलने पर हल्का सा हिलता है |"
"SETTINGS_DESC_DYNCAM_DEFLECTION","Camera deflection factor","Степень отклонения камеры","Neigungsfaktor der Ansicht","Faction de déflection de la caméra","Factor de movimiento de la cámara","कैमरा के हिलने का माप"
"SETTINGS_DESC_FULLSCREEN","Use the whole screen for the game","Использовать весь экран для игры","Benutze den ganzen Bildschirm für das Spiel","Utiliser l'écran entier pour le jeu","Usa toda la pantalla para el videojuego","पूरी स्क्रीन को खेल के लिए उपयोग करे |"
"SETTINGS_DESC_GAME","Game behaviour
 
ATTENTION! Online scoring login and password are stored in plain text in ""online"" file located in OGS Mahjong settings directory. Never share it with anyone.
 
[window='Settings/OpenSettingsDir']","Поведение игры
 
ВНИМАНИЕ! Ваши логин и пароль сетевого рейтинга хранятся прямым текстом в файле ""online"", находящемся в директории настроек OGS Mahjong. Никогда никому его не давайте.
 
[window='Settings/OpenSettingsDir']","Spielverhalten
 
ACHTUNG! Ihr Benutzername und Passwort wird im Klartext in der Datei “online” im OGS Mahjong Einstellungsordner abgelegt. Teilen Sie diese Datei niemals mit anderen Personen.
 
[window='Settings/OpenSettingsDir']","Comportement du jeu
[window='Settings/OpenSettingsDir']","Comportamiento del juego
[window='Settings/OpenSettingsDir']","खेल का व्यवहार
[window='Settings/OpenSettingsDir']"
"SETTINGS_DESC_GENERAL_VOLUME","General volume controls the volume of both sound effects and background music. If you disable it, the game will make no sound.","Общая громкость контролирует громкость как звуковых эффектов, так и фоновой музыки. Если вы выключите её, игра будет без звука.","Die Allgemeine Lautstärke regelt die Lautstärke sowohl der Soundeffekte als auch der Musik. Wenn Sie es deaktivieren, wird das Spiel keinen Sound ausgeben.","Le volume général contrôle le volume à la fois des effets sonores et de la musique de fond. Si vous le désactivez, le jeu ne produit aucun son.","Control general de volumen es de los dos efectos de sonido y música de fondo. Si la desactiva, el juego hará ningún sonido.","सामन्य आवाज़ के कंट्रोल्स आवाज़ सांभर और गीत दोनों की तीव्रता को सँभालते है| "
"SETTINGS_DESC_GFX_QUALITY","Select desired quality instead of tweaking each video parameter. If you want to tweak everything manually, select Custom.","Выберите желаемое качество вместо настройки каждого видеопараметра. Если вы хотите настроить всё самостоятельно, выберите Настроить.","Wählen Sie eine Qualitätseinstellung, wenn Sie nicht jeden einzelnen Grafikparameter einstellen wollen. Wählen Sie Benutzerdefiniert, wenn Sie jede Einstellung selber vornehmen möchten.","Sélectionner la qualité désirée au lieu de régler chaque paramètre vidéo. Si vous voulez régler tout manuellement, sélectionnez Personnalisée.","Seleccione la calidad deseada en lugar de ajustar cada parámetro de video. Si desea ajustar todo manualmente, seleccione Personalizar.","हर एक माप को स्वयं बदले के लिए कस्टम चुने अथवा इनमे से एक श्रेणी को चुने |"
"SETTINGS_DESC_HIGHLIGHT_LAYERS","Highlight layers of tiles to easier tell them apart","Подсвечивать слои фишек, чтобы легче различать их","Ebenen werden hervorgehoben, um einen besseren Überblick zu bekommen","Surligner les couches pour les distinguer plus facilement","Destacar las capas de fichas para hacer mas fácil apartarlas","टाइल्स की परतों को आसानी से पहचानने के लिए उन्हें चिह्नांकित करे |"
"SETTINGS_DESC_LANGUAGE","Language of the game","Язык игры","Sprache des Spiels","Langage du jeu","Idioma del juego","खेल की भाषा"
"SETTINGS_DESC_MOUSE_SENSITIVITY","The higher the sensitivity, the faster the mouse moves","Чем выше чувствительность, тем быстрее двигается мышь","Je höher die Sensitivität, desto schneller wird sich die Maus bewegen","Plus la sensibilité est haute, plus vite la souris se déplace","Cuanto mayor sea la sensibilidad, más rápido se mueve el ratón","जितनी ज्यादा संवेदनशीलता उतनी तेज़ी से माउस चलेगा"
"SETTINGS_DESC_MUSIC_PACKS","Music packs contain various groups of music tracks. If you disable them all, there will be no background music.","Музыкальные группы содержат разные комбинации музыкальных дорожек. Если вы выключите их все, фоновой музыки не будет.","Musikpakete enthalten verschiedene Gruppen von Musikstücken. Wenn Sie alle deaktivieren, wird keine Hintergrundmusik ausgegeben.","Les packs de musique contiennent différents groupes de pistes musicales. Si vous les désactivez tous, il n'y aura pas de musique de fond.","Los paquetes de música contienen varios grupos de pistas de música. Si desactivarlos todos, no habrá música de fondo.","गीत माला में भिन्न प्रकार के गीत है | अगर आप सबको बंद कर देंगे तो कोई गीत नहीं बजेगा |"
"SETTINGS_DESC_MUSIC_VOLUME","Background music volume","Громкость фоновой музыки","Lautstärke Hintergrundmusik","Volume de la musique de fond","Volumen de la música de fondo","गीतों की तीव्रता "
"SETTINGS_DESC_ONLINE","When you play an online scored game your result is available in the global scoring table.","В случае игры с сетевым рейтингом ваш результат доступен в глобальном рейтинге.","Wenn Sie ein bewertetes Online-Spiel spielen, wird Ihr Highscore weltweit online einsehbar sein.",,,
"SETTINGS_DESC_ONLY_HORIZONTAL","Horizontal deflection only","Отклонение лишь по горизонтали","Nur horizontale Neigung","Déflection horizontale seulement","Movimiento horizontal sólo","केवल क्षैतिज झुकाव "
"SETTINGS_DESC_RES","Game window resolution. Contains several standard resolutions and current one on the last line if it differs from standard ones. Try to resize the window and you'll see it changing.","Разрешение окна игры. Содержит несколько стандартных разрешений и текущее на последней строке, если оно отличается от стандартных. Попробуйте изменить размер окна и увидите, как оно меняется.","Größe des Spielfensters. Enthält diverse Standardgrößen und die aktuelle Fenstergröße als letzte Linie (wenn es keine Standardgröße ist). Versuchen Sie, die Fenstergröße zu ändern und Sie werden die Änderung sehen.","Résolution de la fenêtre de jeu. Contient différentes résolutions standards et celle courante sur la dernière ligne si elle différère de celles standards. Essayez de redimensionner la fenêtre et vous la verrez changer.","Resolución de la ventana del juego. Contiene varias resoluciones estándar y una corriente en la última línea, si es distinto de los estándar. Trate de cambiar el tamaño de la ventana y vera que cambia.","खेल विंडो की रेसोल्यूशन | इसमें कई मान्य रेसोल्यूशन है और अगर अभी वाली रेसोलुतिओं मान्य नहीं है तो वेह आखरी पंक्ति में मौजूद है| विंडो का आकर बदलते ही आपको अंतर दिख जायेगा|"
"SETTINGS_DESC_RESTRICT_CAM_ROTATION","When restricted, camera is only allowed to move in a range that is most suitable for playing. However, if you want to look around, you can remove the restriction and rotate freely.","При ограничении камере дозволено двигаться лишь в пределах, наиболее удобных для игры. Тем не менее, если вы хотите осмотреться вокруг, можете убрать ограничение и вращать камеру свободно.","Wenn begrenzt, ist die Spielansicht auf einen Bereich begrenzt, der optimal für das Spielen ist. Wenn Sie sich umschauen wollen, können Sie diese Begrenzung herausnehmen und die Ansicht damit frei auswählen.","Quand elle est restreinte, la caméra est seulement autorisée à se déplacer dans une étendue qui est davantage conçue pour le jeu. Toutefois, si vous voulez voir autour, vous pouvez enlever la restriction et pivoter librement.","Cuando esta restringido, la cámara sólo puede moverse en un rango que es el más adecuado para la reproducción. Sin embargo, si usted quiere mirar a su alrededor, se puede quitar la restricción y girar libremente.","जब कैमरे पर रोक लगी हो तो वह केवल उतना ही हिलेगा जितने में खेल खेलने में आसानी हो |पर अगर आप चाहे तो यह रोक हटा सकते है |"
"SETTINGS_DESC_SCENE","Scene deifines the look of environment for tiles","Сцена определяет вид окружения для фишек","Szene definiert das Aussehen der Umgebung  für die Spielsteine","La scène définit l'aspect de l'environnement pour les tuiles","Escena define el aspecto del entorno de las fichas","दृश्य टाइल्स के रूप को निर्धारित करता है |"
"SETTINGS_DESC_SHADERS","If enabled, objects will look more natural","Если включено, объекты будут выглядеть более правдоподобно","Wenn aktiviert, sehen die Objekte natürlicher aus.","Si activé, les objets paraîtront plus naturels","Si está activado, los objetos se vean más naturales","अगर इसे ऑन करा तो वस्तुए ज्यादा सहेज लगेंगी |"
"SETTINGS_DESC_SHADOWS","If enabled, objects cast shadows","Если включено, объекты отбрасывают тень","Wenn aktiviert, werfen die Objekte Schatten.","Si activé, les objets perdent leur ombre","Si se activa, los objetos pierden su sombra","अगर इसे ऑन करा तो वस्तुओ की परछाई दिखेगी |"
"SETTINGS_DESC_SOUND_FX_VOLUME","Sound effects' volume","Громкость звуковых эффектов","Soundeffekt-Lautstärke","Volume des effets sonores","Volumen de los efectos de sonido","ध्वनी की तीव्रता |"
"SETTINGS_DESC_TEXTURE_FILTERING","Defines smoothness of textures on objects","Определяет гладкость текстур на объектах","Definiert die Gleichmäßigkeit der Texturen auf Objekten","Définit la douceur des textures sur les objets","Ajusta la suavidad de las texturas en los objetos","यह वस्तुओ की बुनावट की चिकनाई निर्धारित करती है |"
"SETTINGS_DESC_THEME","Theme defines the look of tiles and victory/loss sounds/screens","Тема определяет вид фишек и звуки/экраны победы/поражения","Das Theme definiert das Aussehen der Spielsteine und der Sounds & Grafiken bei Sieg/Niederlage.","Le thème définit l'aspect des tuiles ainsi que les sons/écrans en cas de victoire/défaite","Tema define el aspecto de las fichas y la victoria / pérdida sonidos / pantallas","मूल विषय टाइल्स की दिखावट और जीत/हार की धुनों को निर्धारित करता है |"
"SETTINGS_DESC_THEMES","Game look","Вид игры","Aussehen des Spiels","Aspect du jeu","Aspecto del juego","खेल की दिखावट"
"SETTINGS_DESC_TILE","The higher the quality, the better tiles look","Чем выше качество, тем лучше фишки выглядят","Je höher die Qualität, desto besser sehen die Spielsteine aus","Plus la qualité est haute, meilleur est l'aspect des tuiles","La mejor calidad, hace que se vean mejor las fichas","जितनी ज्यादा गुणवत्ता टाइल्स उतनी ही बेहतर दिखेंगी |"
"SETTINGS_DESC_UPDATE_CHECK","Check for updates happens at startup.","Проверка обновлений происходит при старте.","Updates werden beim Spielstart gesucht.","La vérification des mises à jour se produit au démarrage","La comprobación de actualizaciones se hace al comienzo","नवीनीकरण के लिए जाँच शुरू में ही होती है |"
"SETTINGS_DESC_VIDEO","Video quality.
 
If video settings has been selected inappropriatly the first time you run the game, please, report correct settings to our [window='Settings/LinkForumVideoSettings']. Instructions are in the first post.","Качество видео.
 
Если настройки видео были выбраны неверно во время первого запуска игры, пожалуйста, сообщите верные настройки на наш [window='Settings/LinkForumVideoSettings']. Инструкции в первом сообщении.","Videoqualität.
 
Falls die Videoeinstellungen beim ersten Starten des Spiels falsch eingestellt wurden, berichten Sie die korrekten Einstellungen an [window='Settings/LinkForumVideoSettings']. Instruktionen dazu finden Sie im ersten Beitrag.","Qualité vidéo.
 
Si les réglages vidéo n'ont pas été sélectionnés de façon appropriée la première fois que vous lancez le jeu, merci de soumettre les réglages corrects à notre  [window='Settings/LinkForumVideoSettings']. Les instructions sont dans le premier sujet.","La calidad de video.
 
Si la configuración de vídeo no fueron seleccionados adecuadamente la primera vez que inicie el juego, gracias por enviar la configuración correcta en nuestro [window='Settings/LinkForumVideoSettings']. Las instrucciones están en el primer post del foro .","चल चित्र की गुणवत्ता |

अगर चल चित्र को गलत तरह से विन्यास कर दिया गया था तो कृपया सही विन्यास हमारे [window='Settings/LinkForumVideoSettings'].आदेश पहले पोस्ट में है |"
"SETTINGS_DESC_VSYNC","Enable this if you experience screen tearing","Включите это, если изображение на экране «рвётся»","Aktivieren Sie diese Einstellung, wenn Sie Tearing feststellen","Activer ceci si vous expérimentez une déchirure verticale de l'écran","Active esta opción si usted experimenta efectos de tearing en la pantalla","इससे ऑन करे अगर आपकी स्क्रीन फटती है |"
"SETTINGS_DIFFICULTY","Difficulty:","Сложность:","Schwierigkeit:","Difficulté :","Dificultad:","कठनाई :"
"SETTINGS_DYNCAM","Dynamic camera","Динамическая камера","Dynamische Kamera","Caméra dynamique","Cámara dinámica","गतिशील कैमरा"
"SETTINGS_DYNCAM_DEFLECTION","Deflection of dynamic camera:","Отклонение динамической камеры:","Ablenkung der dynamischen Kamera:","Déflection de la caméra dynamique :","Movimiento de la cámara dinámica:","गतिशील कैमरा का झुकाव :"
"SETTINGS_FORUM","forum","форум","Forum","forum","foro","गोष्ठी"
"SETTINGS_FULLSCREEN","Full screen","На весь экран","Vollbild","Plein écran","Pantalla completa","पूरी स्क्रीन"
"SETTINGS_GAME","Game","Игра","Spiel","Jeu","Juego","खेल "
"SETTINGS_GENERAL_VOLUME","General volume:","Общая громкость:","Allgemeine Lautstärke:","Volume général :","Volumen general:","सामान्य आवाज़ की तीव्रता :"
"SETTINGS_GFX_QUALITY","Graphics quality:","Качество графики:","Grafikqualität:","Qualité graphique :","Calidad de los gráficos:","चित्रमुद्रण की गुणवत्ता :"
"SETTINGS_HIGHLIGHT_LAYERS","Highlight layers","Подсвечивать слои","Ebenen hervorheben","Surligner les couches","Destacar las capas","पट्टियों को चिह्नांकित करे "
"SETTINGS_LANGUAGE","Language:","Язык:","Sprache:","Langage :","Idioma:","भाषा :"
"SETTINGS_LINK_FORUM_VIDEO_SETTINGS","http://opengamestudio.org/topic/video-settings-autodetection","http://opengamestudio.org/topic/video-settings-autodetection","http://opengamestudio.org/topic/video-settings-autodetection","http://opengamestudio.org/topic/video-settings-autodetection","http://opengamestudio.org/topic/video-settings-autodetection","http://opengamestudio.org/topic/video-settings-autodetection"
"SETTINGS_MOUSE_SENSITIVITY","Mouse sensitivity:","Чувствительность мыши:","Maus-Empfindlichkeit:","Sensibilité de la souris :","Sensibilidad del ratón:","माउस की संवेदनशीलता :"
"SETTINGS_MUSIC_PACKS","Music packs:","Музыкальные группы:","Musik-Pakete:","Packs de musique :","Paquetes de música:","गीत माला :"
"SETTINGS_MUSIC_VOLUME","Music volume:","Громкость музыки:","Musik-Lautstärke:","Volume de la musique :","Volumen de la música:","गीतों की तीव्रता :"
"SETTINGS_ONLINE_LOGIN","Login:","Логин:","Login:",,,
"SETTINGS_ONLINE_PASSWORD","Password:","Пароль:","Passwort:",,,
